oare_id,source_transliteration,target_translation_english,source_pdf,source_page,stage1_match_source,stage1_match_confidence,stage2_confidence,language_detected,llm_opinion,akkadian_from_page_text,evidence,notes,pair_index,input_key
948bb1a8-849d-4802-aa93-6423f55fc2fe,"Metnin kral tarafindan mühürlenen sureti, Tura-BêU tarafindan ""sana"" diye hitap edilen kimseye gön-deriliyor.","The text, sealed by the king, is being sent to someone addressed as 'to you' by Tura-BêU.","AKT 2, 1995.pdf",57,page_text_ref,0.82,0.82,tr|en,This page is very useful for understanding the context of the tablet.,"Kt n/k 560;165-560-64;4,9 x 5, 9 x 1,9 cm.; kahverenkli tablet. | waklum kelimesinin mânâsına açıklık getiren","The page text contains a translation of the tablet, and the translation is mostly in Turkish, with some English phrases.","The page text also contains some Akkadian/transliteration-like sentence fragments, such as 'Kt n/k 560;165-560-64;4,9 x 5, 9 x 1,9 cm.; kahverenkli tablet.' and 'waklum kelimesinin mânâsına açıklık getiren'.",1,"AKT 2, 1995.pdf||57||948bb1a8-849d-4802-aa93-6423f55fc2fe"
948bb1a8-849d-4802-aa93-6423f55fc2fe,Bu metnin sureti olan ve waklum kelimesinin mânâsına açıklık getiren n/k 1384 nolu vesikayı aşağıda notlar kisminda müzâkere edeceğiz.,"We will discuss the document n/k 1384, which is a copy of this text and clarifies the meaning of the word waklum, in the notes section below.","AKT 2, 1995.pdf",57,page_text_ref,0.82,0.82,tr|en,This page is very useful for understanding the context of the tablet.,"Kt n/k 560;165-560-64;4,9 x 5, 9 x 1,9 cm.; kahverenkli tablet. | waklum kelimesinin mânâsına açıklık getiren","The page text contains a translation of the tablet, and the translation is mostly in Turkish, with some English phrases.","The page text also contains some Akkadian/transliteration-like sentence fragments, such as 'Kt n/k 560;165-560-64;4,9 x 5, 9 x 1,9 cm.; kahverenkli tablet.' and 'waklum kelimesinin mânâsına açıklık getiren'.",2,"AKT 2, 1995.pdf||57||948bb1a8-849d-4802-aa93-6423f55fc2fe"
46a9506b-d3c2-2885-4df8-34de41247627,Wegzoll bis zur Stadt wird ebenfalls er zahlen.,Toll to the city will also be paid.,"AKT 3, 1995.pdf",58,page_text_ref,0.82,0.82,de|en,"This page is somewhat useful for the tablet, but the content is not directly related to the tablet's transliteration.",sÈ.2.MU | tup-pu-Ju-nu | li-i/5-a-am,page_text_ref,"The page contains a translation of the tablet, but it is not directly related to the tablet's transliteration.",0,"AKT 3, 1995.pdf||58||46a9506b-d3c2-2885-4df8-34de41247627"
46a9506b-d3c2-2885-4df8-34de41247627,Seine Hüllentafel be-findet sich hier.,His tablet is found here.,"AKT 3, 1995.pdf",58,page_text_ref,0.82,0.82,de|en,"This page is somewhat useful for the tablet, but the content is not directly related to the tablet's transliteration.",sÈ.2.MU | tup-pu-Ju-nu | li-i/5-a-am,page_text_ref,"The page contains a translation of the tablet, but it is not directly related to the tablet's transliteration.",1,"AKT 3, 1995.pdf||58||46a9506b-d3c2-2885-4df8-34de41247627"
46a9506b-d3c2-2885-4df8-34de41247627,"Packt ihn, daß er einen guten Diener herführen läßt!","Pack him, so that he brings a good servant!","AKT 3, 1995.pdf",58,page_text_ref,0.82,0.82,de|en,"This page is somewhat useful for the tablet, but the content is not directly related to the tablet's transliteration.",sÈ.2.MU | tup-pu-Ju-nu | li-i/5-a-am,page_text_ref,"The page contains a translation of the tablet, but it is not directly related to the tablet's transliteration.",2,"AKT 3, 1995.pdf||58||46a9506b-d3c2-2885-4df8-34de41247627"
a868a675-3e89-4e49-87af-91902ad27347,"Der gleiche Vorgang auch Nr. 88, 13ff.","The same process also No. 88, 13ff.","AKT 3, 1995.pdf",150,page_text_ref,0.82,0.82,de|en|other,"This page is partially useful for translation, but contains many notes and comments that are not directly related to the translation.",n u- du- a- e | tuppum Ğaitum | kà-al | saltum,page_text_ref,"This page contains a mix of translation and notes. The translation is mostly in German, but some sentences are in English. The notes are in German and provide additional information about the context and meaning of the translation.",0,"AKT 3, 1995.pdf||150||a868a675-3e89-4e49-87af-91902ad27347"
a868a675-3e89-4e49-87af-91902ad27347,Z. 10ff.),Z. 10ff.,"AKT 3, 1995.pdf",150,page_text_ref,0.82,0.82,de|en|other,"This page is partially useful for translation, but contains many notes and comments that are not directly related to the translation.",n u- du- a- e | tuppum Ğaitum | kà-al | saltum,page_text_ref,"This page contains a mix of translation and notes. The translation is mostly in German, but some sentences are in English. The notes are in German and provide additional information about the context and meaning of the translation.",1,"AKT 3, 1995.pdf||150||a868a675-3e89-4e49-87af-91902ad27347"
a868a675-3e89-4e49-87af-91902ad27347,"Vgl. schon Nr. 82, 20ff. mit Anm.","Vgl. schon No. 82, 20ff. with Anm.","AKT 3, 1995.pdf",150,page_text_ref,0.82,0.82,de|en|other,"This page is partially useful for translation, but contains many notes and comments that are not directly related to the translation.",n u- du- a- e | tuppum Ğaitum | kà-al | saltum,page_text_ref,"This page contains a mix of translation and notes. The translation is mostly in German, but some sentences are in English. The notes are in German and provide additional information about the context and meaning of the translation.",2,"AKT 3, 1995.pdf||150||a868a675-3e89-4e49-87af-91902ad27347"
a868a675-3e89-4e49-87af-91902ad27347,Nr. 88: Geschiiftsbrief,No. 88: Business letter,"AKT 3, 1995.pdf",150,page_text_ref,0.82,0.82,de|en|other,"This page is partially useful for translation, but contains many notes and comments that are not directly related to the translation.",n u- du- a- e | tuppum Ğaitum | kà-al | saltum,page_text_ref,"This page contains a mix of translation and notes. The translation is mostly in German, but some sentences are in English. The notes are in German and provide additional information about the context and meaning of the translation.",3,"AKT 3, 1995.pdf||150||a868a675-3e89-4e49-87af-91902ad27347"
a868a675-3e89-4e49-87af-91902ad27347,Fundnummer: kt v/k 24,Registration number: kt v/k 24,"AKT 3, 1995.pdf",150,page_text_ref,0.82,0.82,de|en|other,"This page is partially useful for translation, but contains many notes and comments that are not directly related to the translation.",n u- du- a- e | tuppum Ğaitum | kà-al | saltum,page_text_ref,"This page contains a mix of translation and notes. The translation is mostly in German, but some sentences are in English. The notes are in German and provide additional information about the context and meaning of the translation.",4,"AKT 3, 1995.pdf||150||a868a675-3e89-4e49-87af-91902ad27347"
a868a675-3e89-4e49-87af-91902ad27347,Brief von Ennum-Assur an Lälij a aus dem gleichen Konvolut wie Nr.,Letter from Ennum-Assur to Lälij a from the same collection as No.,"AKT 3, 1995.pdf",150,page_text_ref,0.82,0.82,de|en|other,"This page is partially useful for translation, but contains many notes and comments that are not directly related to the translation.",n u- du- a- e | tuppum Ğaitum | kà-al | saltum,page_text_ref,"This page contains a mix of translation and notes. The translation is mostly in German, but some sentences are in English. The notes are in German and provide additional information about the context and meaning of the translation.",5,"AKT 3, 1995.pdf||150||a868a675-3e89-4e49-87af-91902ad27347"
a868a675-3e89-4e49-87af-91902ad27347,Lälija erhält Anweisungen bezüglich einer Anzahl von Schuldurkunden;,Lälija receives instructions regarding a number of debt documents;,"AKT 3, 1995.pdf",150,page_text_ref,0.82,0.82,de|en|other,"This page is partially useful for translation, but contains many notes and comments that are not directly related to the translation.",n u- du- a- e | tuppum Ğaitum | kà-al | saltum,page_text_ref,"This page contains a mix of translation and notes. The translation is mostly in German, but some sentences are in English. The notes are in German and provide additional information about the context and meaning of the translation.",6,"AKT 3, 1995.pdf||150||a868a675-3e89-4e49-87af-91902ad27347"
a868a675-3e89-4e49-87af-91902ad27347,außerdem soll er das Silber für eine Sendung von 80 Stof-fen zahlen lassen.,"in addition, he should pay the silver for a shipment of 80 goods.","AKT 3, 1995.pdf",150,page_text_ref,0.82,0.82,de|en|other,"This page is partially useful for translation, but contains many notes and comments that are not directly related to the translation.",n u- du- a- e | tuppum Ğaitum | kà-al | saltum,page_text_ref,"This page contains a mix of translation and notes. The translation is mostly in German, but some sentences are in English. The notes are in German and provide additional information about the context and meaning of the translation.",7,"AKT 3, 1995.pdf||150||a868a675-3e89-4e49-87af-91902ad27347"
a868a675-3e89-4e49-87af-91902ad27347,"Der Schluß des Briefes enthält gute Ratschläge für ein vernünftiges Verhalten des Lälij a, insbesondere sich nicht dem Alkohol zu ergeben.","The conclusion of the letter contains good advice for Lälija's reasonable behavior, especially not to give in to alcohol.","AKT 3, 1995.pdf",150,page_text_ref,0.82,0.82,de|en|other,"This page is partially useful for translation, but contains many notes and comments that are not directly related to the translation.",n u- du- a- e | tuppum Ğaitum | kà-al | saltum,page_text_ref,"This page contains a mix of translation and notes. The translation is mostly in German, but some sentences are in English. The notes are in German and provide additional information about the context and meaning of the translation.",8,"AKT 3, 1995.pdf||150||a868a675-3e89-4e49-87af-91902ad27347"
31425728-1d77-4056-85d4-6f2256314961,1. S. um-ma su-ut-ma ma-sa-ku,1. S. umma sut-ma masaku,"AKT 3, 1995.pdf",164,page_text_ref,0.82,0.82,de|en,"This page is useful for understanding the context of the tablet, but the translation is not entirely reliable due to the presence of unclear or missing text.",a-ma-kam / ma-ld ik-[x z] | û u4-ma-am a-na [ | -t(-ki | i-za-zu / ka- ra-am / É.GAL am | û sâl-si-su / ni-ik-su-ud-ma | IGI kâ-ri-im nu-ba-i-su | o. K. 30 | û a-su-mi a-wa-tim | ia En-um-A-sûr DUMU S'u-kâ-li-a | 1. S. um-ma su-ut-ma ma-sa-ku,"The page contains a translation of the tablet, but it is not entirely reliable due to the presence of unclear or missing text.",The translation of the tablet is not entirely reliable due to the presence of unclear or missing text.,0,"AKT 3, 1995.pdf||164||31425728-1d77-4056-85d4-6f2256314961"
31425728-1d77-4056-85d4-6f2256314961,qd-tdm sa En-urn-A-sûr,qdtm sa En-urn-Assur,"AKT 3, 1995.pdf",164,page_text_ref,0.82,0.82,de|en,"This page is useful for understanding the context of the tablet, but the translation is not entirely reliable due to the presence of unclear or missing text.",a-ma-kam / ma-ld ik-[x z] | û u4-ma-am a-na [ | -t(-ki | i-za-zu / ka- ra-am / É.GAL am | û sâl-si-su / ni-ik-su-ud-ma | IGI kâ-ri-im nu-ba-i-su | o. K. 30 | û a-su-mi a-wa-tim | ia En-um-A-sûr DUMU S'u-kâ-li-a | 1. S. um-ma su-ut-ma ma-sa-ku,"The page contains a translation of the tablet, but it is not entirely reliable due to the presence of unclear or missing text.",The translation of the tablet is not entirely reliable due to the presence of unclear or missing text.,1,"AKT 3, 1995.pdf||164||31425728-1d77-4056-85d4-6f2256314961"
efe47ce9-d0fc-4c3a-a514-538b1abd0205,"constructed with a double acc. ""to load somebody with something"", so that only one object can be mentioned in each case.","constructed with a double accusative ""to load somebody with something"", so that only one object can be mentioned in each case.","AOATT, 1972.pdf",39,page_text_ref,0.82,0.82,en,"This page is somewhat useful for understanding the context of the tablet, but it does not provide a direct translation.",s-nu-tdm | ra-ki-is-ma | bi-ld-at | e--ma-ri | kà-i--in-ma | 1° | ma-la | e-ma-ru | i--na-si-s-ni | ù,page_text_ref,,0,"AOATT, 1972.pdf||39||efe47ce9-d0fc-4c3a-a514-538b1abd0205"
11c49ff4-77b9-4c8c-9393-f4b2edb3c144,"yiksü of gold and silver range in weight from a few shekels to nearly two minas (CCT 5, 41a, 19 and 41b, 8), and are always smaller than nq i§ü containing the same metals, which may weigh between 2-3 and 30 minas (GARELLI AC 226; LARSEN OACP 55 ad 9) .","yiksü of gold and silver range in weight from a few shekels to nearly two minas (CCT 5, 41a, 19 and 41b, 8), and are always smaller than nq i§ü containing the same metals, which may weigh between 2-3 and 30 minas (GARELLI AC 226; LARSEN OACP 55 ad 9) .","AOATT, 1972.pdf",63,page_text_ref,0.82,0.82,en,This page is very useful for understanding the concept of yiksü and its relation to other metal weights.,yiksü | nq i§ü | néj5isü | §uglum | néßi§um,page_text_ref,,0,"AOATT, 1972.pdf||63||11c49ff4-77b9-4c8c-9393-f4b2edb3c144"
948bb1a8-849d-4802-aa93-6423f55fc2fe,Bags were especially used for the packing of textiles:,Bags were especially used for the packing of textiles.,"AOATT, 1972.pdf",68,page_text_ref,0.82,0.82,en,This page is very useful for understanding the use of bags in Old Assyrian trade.,1 me-at 2 TÚG ša qá-tim 4 ANŠE.ḪI.A ṣa-lá-mu ú ú-nu-sú-nu 4 {TÚG}a-bar-ni-ú ù ra-qá-tám,"The text on page 68 of AOATT, 1972.pdf contains a translation of the tablet.",The translation is in English and the confidence is high.,0,"AOATT, 1972.pdf||68||948bb1a8-849d-4802-aa93-6423f55fc2fe"
0600be70-a772-42b5-8a4c-13dfd9f1bce9,"The phrase ina masd'im imti is also found in TC 3/1, 36, 44 and 43, 37 both texts describe what happened to an amount of silver sent to Assur, apparently before it was used to make purchases.","The phrase ina masd'im imti is also found in TC 3/1, 36, 44 and 43, 37 both texts describe what happened to an amount of silver sent to Assur, apparently before it was used to make purchases.","AOATT, 1972.pdf",78,page_text_ref,0.82,0.82,en,"This page is somewhat useful for understanding the context of the tablet, but it does not provide a direct translation of the tablet's content.",ina masd'im imti | mutd'ü | kibsdtum | musakka'ü,"The page text contains a reference to the tablet's content, specifically the phrase ina masd'im imti, which is also found in other texts.","The page text provides some context and background information on the tablet's content, but it does not provide a direct translation of the tablet's text.",0,"AOATT, 1972.pdf||78||0600be70-a772-42b5-8a4c-13dfd9f1bce9"
03e24c18-5246-4026-bb2f-5f58628e0369,"We note that these texts do not deal with normal trading operations,
but rather with personal matters, as indicated by the repeated use of the
pron.suff. with the inf.Gt of labäsum 159).","These texts do not deal with normal trading operations, but rather with personal matters.","AOATT, 1972.pdf",126,page_text_ref,0.82,0.82,en,"This page is somewhat useful for understanding the context of the tablet, but it does not provide a direct translation of the tablet's content.",abarnïum | kutänum | surum | TIJG SIG5,"The page text contains a discussion about the textiles mentioned in the tablet, and provides some context for understanding the tablet's content.","The page text does not provide a direct translation of the tablet's content, but rather provides some context and discussion about the textiles mentioned in the tablet.",0,"AOATT, 1972.pdf||126||03e24c18-5246-4026-bb2f-5f58628e0369"
03e24c18-5246-4026-bb2f-5f58628e0369,"Though we meet in these texts
the textiles called abarnïum, kutänum, surum and TIJG SIG5, which play
an important role in the trade, I am not convinced that one is allowed to
infer from the fact that these textiles here occur together with labäsum,
that they were all garments.","I am not convinced that one is allowed to infer from the fact that these textiles here occur together with labäsum, that they were all garments.","AOATT, 1972.pdf",126,page_text_ref,0.82,0.82,en,"This page is somewhat useful for understanding the context of the tablet, but it does not provide a direct translation of the tablet's content.",abarnïum | kutänum | surum | TIJG SIG5,"The page text contains a discussion about the textiles mentioned in the tablet, and provides some context for understanding the tablet's content.","The page text does not provide a direct translation of the tablet's content, but rather provides some context and discussion about the textiles mentioned in the tablet.",1,"AOATT, 1972.pdf||126||03e24c18-5246-4026-bb2f-5f58628e0369"
effedebb-3c32-4d36-aab5-185b66849c47,"The text shows us a merchant much concerned about the quality, the finishing treatment and the size of a textile produced by a female relative.","The text shows us a merchant much concerned about the quality, the finishing treatment and the size of a textile produced by a female relative.","AOATT, 1972.pdf",139,page_text_ref,0.82,0.82,en,This page is very useful for understanding the context of the tablet.,sißrum gamrum | kin . t i 1.1 a | ma-zu-ri-li | ii-li-ba-§i | i-nu-mi-im,page_text_ref,"The page contains a translation of the tablet, but it is not a direct translation of the Akkadian text. The translation is a summary of the text and provides additional context.",0,"AOATT, 1972.pdf||139||effedebb-3c32-4d36-aab5-185b66849c47"
1764b9d5-dc9a-44fe-8400-14ce54cb5ad3,"The text shows us a merchant much concerned about the quality, the finishing treatment and the size of a textile produced by a female relative.","The text shows us a merchant who is very concerned about the quality, the finishing treatment, and the size of a textile produced by a female relative.","AOATT, 1972.pdf",139,page_text_ref,0.82,0.82,en,"This page is somewhat useful for understanding the context of the tablet, but it does not provide a direct translation of the tablet's content.",sißrum gamrum | kin . t i 1.1 a | ma-zu-ri-li | ii-li-ba-§i | i-nu-mi-im | A -sur-bé-ld-wa-tim,"The page text contains a translation of the tablet's content, but it is not a direct translation. The language detected is English, and the confidence is 0.82.","The page text provides some useful information about the context of the tablet, but it does not provide a direct translation of the tablet's content.",0,"AOATT, 1972.pdf||139||1764b9d5-dc9a-44fe-8400-14ce54cb5ad3"
1764b9d5-dc9a-44fe-8400-14ce54cb5ad3,She was busy making expensive types of textiles like subcztum qatnum and abarnium for which he guarantees the high price of half a mina of silver.,She was busy making expensive types of textiles like subcztum qatnum and abarnium for which he guarantees the high price of half a mina of silver.,"AOATT, 1972.pdf",139,page_text_ref,0.82,0.82,en,"This page is somewhat useful for understanding the context of the tablet, but it does not provide a direct translation of the tablet's content.",sißrum gamrum | kin . t i 1.1 a | ma-zu-ri-li | ii-li-ba-§i | i-nu-mi-im | A -sur-bé-ld-wa-tim,"The page text contains a translation of the tablet's content, but it is not a direct translation. The language detected is English, and the confidence is 0.82.","The page text provides some useful information about the context of the tablet, but it does not provide a direct translation of the tablet's content.",1,"AOATT, 1972.pdf||139||1764b9d5-dc9a-44fe-8400-14ce54cb5ad3"
1764b9d5-dc9a-44fe-8400-14ce54cb5ad3,Unfortunately we do not hear why the Abarnian textile she sent did not meet his requirements ; on the other hand we learn that a kutenum used to be shorn.,Unfortunately we do not hear why the Abarnian textile she sent did not meet his requirements ; on the other hand we learn that a kutenum used to be shorn.,"AOATT, 1972.pdf",139,page_text_ref,0.82,0.82,en,"This page is somewhat useful for understanding the context of the tablet, but it does not provide a direct translation of the tablet's content.",sißrum gamrum | kin . t i 1.1 a | ma-zu-ri-li | ii-li-ba-§i | i-nu-mi-im | A -sur-bé-ld-wa-tim,"The page text contains a translation of the tablet's content, but it is not a direct translation. The language detected is English, and the confidence is 0.82.","The page text provides some useful information about the context of the tablet, but it does not provide a direct translation of the tablet's content.",2,"AOATT, 1972.pdf||139||1764b9d5-dc9a-44fe-8400-14ce54cb5ad3"
1764b9d5-dc9a-44fe-8400-14ce54cb5ad3,"The text shows clearly what kind of expensive luxury products formed part of the merchandise, products which can only have been bought by the Anatolian upper classes.","The text shows clearly what kind of expensive luxury products formed part of the merchandise, products which can only have been bought by the Anatolian upper classes.","AOATT, 1972.pdf",139,page_text_ref,0.82,0.82,en,"This page is somewhat useful for understanding the context of the tablet, but it does not provide a direct translation of the tablet's content.",sißrum gamrum | kin . t i 1.1 a | ma-zu-ri-li | ii-li-ba-§i | i-nu-mi-im | A -sur-bé-ld-wa-tim,"The page text contains a translation of the tablet's content, but it is not a direct translation. The language detected is English, and the confidence is 0.82.","The page text provides some useful information about the context of the tablet, but it does not provide a direct translation of the tablet's content.",3,"AOATT, 1972.pdf||139||1764b9d5-dc9a-44fe-8400-14ce54cb5ad3"
1764b9d5-dc9a-44fe-8400-14ce54cb5ad3,"The lady producing the textiles, Waqartum, most probably is identical to the sender of the letter BIN 4, 96, addressed to Buzäzu.","The lady producing the textiles, Waqartum, most probably is identical to the sender of the letter BIN 4, 96, addressed to Buzäzu.","AOATT, 1972.pdf",139,page_text_ref,0.82,0.82,en,"This page is somewhat useful for understanding the context of the tablet, but it does not provide a direct translation of the tablet's content.",sißrum gamrum | kin . t i 1.1 a | ma-zu-ri-li | ii-li-ba-§i | i-nu-mi-im | A -sur-bé-ld-wa-tim,"The page text contains a translation of the tablet's content, but it is not a direct translation. The language detected is English, and the confidence is 0.82.","The page text provides some useful information about the context of the tablet, but it does not provide a direct translation of the tablet's content.",4,"AOATT, 1972.pdf||139||1764b9d5-dc9a-44fe-8400-14ce54cb5ad3"
1764b9d5-dc9a-44fe-8400-14ce54cb5ad3,"Again she seems personally to derive profits from her textile production ; but the silver is needed for the household, because she complains of living in an empty house (11. 13-14).","Again she seems personally to derive profits from her textile production ; but the silver is needed for the household, because she complains of living in an empty house (11. 13-14).","AOATT, 1972.pdf",139,page_text_ref,0.82,0.82,en,"This page is somewhat useful for understanding the context of the tablet, but it does not provide a direct translation of the tablet's content.",sißrum gamrum | kin . t i 1.1 a | ma-zu-ri-li | ii-li-ba-§i | i-nu-mi-im | A -sur-bé-ld-wa-tim,"The page text contains a translation of the tablet's content, but it is not a direct translation. The language detected is English, and the confidence is 0.82.","The page text provides some useful information about the context of the tablet, but it does not provide a direct translation of the tablet's content.",5,"AOATT, 1972.pdf||139||1764b9d5-dc9a-44fe-8400-14ce54cb5ad3"
